Partida,Tiempo,Cantidad_palabras_a_adivinar,Nombre_del_evento,Nick,Genero,Edad,Estado,Palabra,Nivel
7,1624479570.0517612,6,intento,akira,Mujer,22,ok,Outbreak Company,0
7,1624479571.3719466,6,intento,akira,Mujer,22,error,Angolmois: Record of Mongol Invasion,0
7,1624479573.6004202,6,intento,akira,Mujer,22,ok,Bungo Stray Dogs,0
7,1624479575.2824986,6,intento,akira,Mujer,22,ok,Ninja Girl & Samurai Master,0
7,1624479576.1034849,6,intento,akira,Mujer,22,ok,Angolmois: Record of Mongol Invasion,0
7,1624479576.4049172,6,fin,akira,Mujer,22,finalizada,,0
8,1624479656.7142265,6,inicio_partida,akira,Mujer,22,,,1
8,1624479658.2644079,6,intento,akira,Mujer,22,ok,Golden Kamuy,1
8,1624479659.834587,6,intento,akira,Mujer,22,error,The Royal Tutor,1
8,1624479661.8005362,6,intento,akira,Mujer,22,ok,SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-,1
8,1624479663.4146492,6,intento,akira,Mujer,22,error,White Album 2,1
8,1624479665.1807995,6,intento,akira,Mujer,22,ok,White Album 2,1
8,1624479666.359077,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
8,1624479668.5859766,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
8,1624479669.97431,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
8,1624479670.763575,6,intento,akira,Mujer,22,ok,Young Black Jack,1
8,1624479671.0648644,6,fin,akira,Mujer,22,finalizada,,1
9,1624479695.3433793,6,inicio_partida,akira,Mujer,22,,,1
9,1624479696.1924798,6,intento,akira,Mujer,22,ok,Love Live! Sunshine!!,1
9,1624479697.4019032,6,intento,akira,Mujer,22,error,Girlish number,1
9,1624479699.2516463,6,intento,akira,Mujer,22,error,Love Live!,1
9,1624479701.0834813,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
9,1624479702.862706,6,intento,akira,Mujer,22,ok,RH Plus,1
9,1624479704.311581,6,intento,akira,Mujer,22,ok,Anisong Station,1
9,1624479705.3666174,6,intento,akira,Mujer,22,error,Girlish number,1
9,1624479707.1087801,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
9,1624479708.8288546,6,intento,akira,Mujer,22,error,Love Live!,1
9,1624479710.4984415,6,intento,akira,Mujer,22,error,Love Live!,1
9,1624479712.1363232,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
9,1624479714.3857212,6,intento,akira,Mujer,22,error,Girlish number,1
9,1624479715.9937541,6,intento,akira,Mujer,22,ok,Samurai Jam-Bakumatsu Rock,1
9,1624479716.9649296,6,intento,akira,Mujer,22,error,Love Live!,1
9,1624479718.8882823,6,intento,akira,Mujer,22,ok,Love Live!,1
9,1624479719.6771374,6,intento,akira,Mujer,22,ok,Girlish number,1
9,1624479719.9788735,6,fin,akira,Mujer,22,finalizada,,1
10,1624479726.7522688,6,inicio_partida,akira,Mujer,22,,,1
10,1624479727.7050781,6,intento,akira,Mujer,22,error,Girlish number,1
10,1624479729.3404357,6,intento,akira,Mujer,22,error,Love Live! Sunshine!!,1
10,1624479731.2479727,6,intento,akira,Mujer,22,error,Love Live!,1
10,1624479732.8251808,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
10,1624479734.6089888,6,intento,akira,Mujer,22,error,Girlish number,1
10,1624479736.4889336,6,intento,akira,Mujer,22,error,Love Live! Sunshine!!,1
10,1624479738.6735828,6,intento,akira,Mujer,22,error,RH Plus,1
10,1624479740.3748667,6,intento,akira,Mujer,22,error,Girlish number,1
10,1624479742.2877977,6,intento,akira,Mujer,22,error,Samurai Jam-Bakumatsu Rock,1
10,1624479743.6716862,6,intento,akira,Mujer,22,error,Love Live!,1
